StudentID,IPK_4,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,PlacementStatus
1,3,1,1,1,65,4.4,No,No,NotPlaced
2,3.56,0,3,2,90,4,Yes,Yes,Placed
3,2.92,1,2,2,82,4.8,Yes,No,NotPlaced
4,3,1,1,2,85,4.4,Yes,Yes,Placed
5,3.32,1,2,2,86,4.5,Yes,Yes,Placed
6,2.8,0,2,2,71,4.2,Yes,No,NotPlaced
7,3.08,1,1,1,76,4,No,No,NotPlaced
8,3.08,2,1,0,85,3.5,Yes,Yes,NotPlaced
9,2.6,1,1,0,84,3.9,No,Yes,NotPlaced
10,3.12,1,3,2,79,4.4,Yes,Yes,Placed
11,3.32,2,3,2,90,4.8,Yes,Yes,Placed
12,3.16,1,3,2,90,4.8,Yes,Yes,Placed
13,3.32,2,3,2,90,4.5,Yes,Yes,Placed
14,3.08,1,1,1,74,4.6,No,Yes,NotPlaced
15,3,1,1,1,66,4.1,No,No,NotPlaced
16,2.96,0,2,1,78,4.4,No,No,NotPlaced
17,3.44,0,3,0,84,4.8,Yes,Yes,Placed
18,3.28,2,3,2,90,4.7,Yes,Yes,Placed
19,2.72,2,3,0,73,4.4,Yes,Yes,Placed
20,2.96,1,2,0,70,4.4,No,Yes,NotPlaced
21,3.04,2,1,0,84,4.4,No,Yes,Placed
22,2.96,1,2,1,72,3.5,No,Yes,Placed
23,3.08,0,1,0,77,3.4,No,Yes,Placed
24,2.96,1,1,0,60,3.8,No,No,NotPlaced
25,2.96,1,2,1,90,4.3,No,Yes,NotPlaced
26,2.68,1,1,1,70,4,No,No,NotPlaced
27,2.96,2,3,2,78,4.3,Yes,Yes,NotPlaced
28,3.32,1,1,1,81,4.5,Yes,Yes,NotPlaced
29,3,1,2,1,84,4.4,No,No,NotPlaced
30,2.8,0,1,1,63,3.9,No,Yes,NotPlaced
31,3.36,2,3,2,90,4.6,Yes,Yes,Placed
32,2.96,1,2,1,76,4.7,No,Yes,NotPlaced
33,3.4,1,3,0,90,4.8,Yes,Yes,Placed
34,3.44,1,2,2,75,4.3,Yes,Yes,Placed
35,2.76,0,1,0,70,3.9,No,Yes,Placed
